mtv, surface, spherical_disproportion, sphericity, stv_ratio, max, min, mean, median, MAD, rms, energy, entropy, kurtosis, skewness, std, uniformity, variance, glcm_energy, glcm_contrast, glcm_entropy, glcm_homogeneity, glcm_correlation, glcm_sumaverage, glcm_variance, glcm_dissimilarity, glcm_autocorrelation, label
0.27519,0.39819,0.51883,0.40722,0.36778,0.58384,0.08347,0.34709,0.29678,0.45311,0.36698,0.060081,0.81181,0.16924,0.66177,0.48231,0.18705,0.28361,0.012639,0.17112,1,0.3334,0.95874,0.21248,0.39,0.34044,0.18872,1
0.11536,0.19687,0.4191,0.50659,0.59515,0.40289,0.30942,0.21551,0.20163,0.16719,0.21387,0.014391,0.45987,0.86006,0.93885,0.20199,0.48745,0.073717,0.12297,0.058299,0.67441,0.51008,0.90597,0.029979,0.16703,0.17614,0.019961,1
0.082696,0.20503,1,0,0.94304,0.51677,0.52673,0.42693,0.38325,0.35619,0.42568,0.03135,0.48257,0.57315,0.70287,0.36562,0.4518,0.18104,0.032217,0.48473,0.84576,0.17736,0.21545,0.57864,0.52898,0.59587,0.52062,1
0.89924,0.95117,0.52165,0.40449,0.042428,0.73554,1,0.75333,0.74079,0.41894,0.73667,0.5316,1,0.00897,0.42601,0.41808,0,0.22447,0.15302,0.11051,0.70998,0.58184,0.47311,0.79897,0.15012,0.19946,0.76239,1
0.19805,0.3674,0.93815,0.046561,0.61771,0.28022,0.13139,0.10537,0.09547,0.14372,0.10914,0.010058,0.5707,0.1552,0.74201,0.15974,0.3752,0.052927,0.04116,0.10635,0.86593,0.38315,0.86031,0,0.24331,0.26458,0,1
0.058374,0.15465,0.88614,0.086901,1,0.75738,0.53574,0.41597,0.36385,0.40172,0.42679,0.025901,0.18716,0.82217,1,0.46859,0.82372,0.27042,0.065425,0.24139,0.75981,0.20146,0.96495,0.022655,0.53391,0.4266,0.038973,1
0.17929,0.33791,0.90482,0.072286,0.64025,0.84667,0.6478,0.60634,0.5311,0.59342,0.61655,0.097066,0.65316,0.26122,0.6949,0.6108,0.29852,0.42161,0.0082994,0.28806,0.96582,0.2108,0.67026,0.44267,0.45328,0.44482,0.39756,1
0.10424,0.23221,0.92434,0.057164,0.83393,0.78578,0.23485,0.57117,0.52468,0.62159,0.59012,0.061446,0.62401,0.63077,0.5385,0.65942,0.31713,0.4807,0.028068,0.36817,0.86752,0.20504,0.47487,0.60726,0.48736,0.50781,0.56074,1
1,1,0.44466,0.48054,0,1,0.37617,1,1,0.78568,1,1,0.96002,0.031189,0.35641,0.80287,0.044015,0.67692,0.1807,0.10632,0.71759,0.56403,0.81201,0.90519,0.22764,0.218,0.8984,1
0.23558,0.36065,0.56115,0.3668,0.42954,0.41043,0.22951,0.18666,0.17712,0.20932,0.19194,0.021717,0.55135,0.16266,0.75609,0.23841,0.42251,0.093915,0.032035,0.10249,0.90723,0.37618,0.93337,0.037116,0.25869,0.2647,0.032107,1
