mtv, surface, spherical_disproportion, sphericity, stv_ratio, max, min, mean, median, MAD, rms, energy, entropy, kurtosis, skewness, std, uniformity, variance, glcm_energy, glcm_contrast, glcm_entropy, glcm_homogeneity, glcm_correlation, glcm_sumaverage, glcm_variance, glcm_dissimilarity, glcm_autocorrelation, glrlm_sre, glrlm_lre, glrlm_gln, glrlm_rln, glrlm_rp, glrlm_lgre, glrlm_hgre, glrlm_srlge, glrlm_srhge, glrlm_lrlge, glrlm_lrhge, glrlm_glv, glrlm_rlv, glszm_sze, glszm_lze, glszm_gln, glszm_zsn, glszm_zp, glszm_lgze, glszm_hgze, glszm_szlge, glszm_szhge, glszm_lzlge, glszm_lzhge, glszm_glv, glszm_zsv, ngtdm_coarseness, ngtdm_contrast, ngtdm_busyness, ngtdm_complexity, ngtdm_strength, label
0.27519,0.39819,0.51883,0.5682,0.36778,0.58384,0.08347,0.34709,0.29678,0.45311,0.36698,0.060081,0.81181,0.10743,0.66177,0.48231,0.0078408,0.28361,0.0013659,0.17112,1,0.20781,0.45778,0.0095346,0.033652,0.34044,0.18872,0.97708,0.25201,0.025877,0.94167,0.9677,0.0049058,0.17761,0.004877,0.18941,0.0050322,0.1489,0.11872,7.8292e-05,0.79445,0.042923,0.024101,0.58855,0.65325,0.006612,0.20963,0.0062901,0.36223,0.010119,0.020599,0.033588,4.3608e-05,0.027526,0.046112,0.021586,0.44889,0.25907,1
0.11536,0.19687,0.4191,0.5855,0.59515,0.40289,0.30942,0.21551,0.20163,0.16719,0.21387,0.014391,0.45987,0.37773,0.93885,0.20199,0.01079,0.073717,0.0027116,0.058299,0.67441,0.25228,0.43484,0.0086339,0.020672,0.17614,0.019961,0.9711,0.32387,0.035309,0.9267,0.96069,0.01009,0.066171,0.010063,0.06607,0.010206,0.067965,0.18644,0.00014,0.74146,0.050406,0.032416,0.50941,0.60625,0.01547,0.082274,0.015239,0.11278,0.018689,0.016431,0.03982,8.6353e-05,0.061004,0.018535,0.011572,0.1362,0.62253,1
0.082696,0.20503,1,0.49732,0.94304,0.51677,0.52673,0.42693,0.38325,0.35619,0.42568,0.03135,0.48257,0.26547,0.70287,0.36562,0.01044,0.18104,0.0016047,0.48473,0.84576,0.16853,0.13465,0.011342,0.041744,0.59587,0.52062,0.98573,0.077366,0.029099,0.96268,0.98133,0.010257,0.51449,0.010238,0.56215,0.010331,0.36712,0.37133,0.00015378,0.83952,0.0089483,0.026566,0.66121,0.77099,0.012567,0.53861,0.012202,0.80007,0.014221,0.011792,0.13448,0.00010031,0.037314,0.19777,0.015409,0.69154,0.50845,1
0.89924,0.95117,0.52165,0.56773,0.042428,0.73554,1,0.75333,0.74079,0.41894,0.73667,0.5316,1,0.044725,0.42601,0.41808,0.0060043,0.22447,0.0030781,0.11051,0.70998,0.27035,0.24666,0.012429,0.019687,0.19946,0.76239,0.95964,0.52457,0.04271,0.89936,0.94494,0.0023384,0.73833,0.002324,0.75809,0.0024041,0.67751,0.30684,0.00010777,0.73051,0.25232,0.030696,0.49446,0.47237,0.0043032,0.60741,0.0041819,0.58245,0.0094166,0.25247,0.01574,2.7262e-05,0.0072586,0,0.03537,0.60002,0,1
0.19805,0.3674,0.93815,0.50542,0.61771,0.28022,0.13139,0.10537,0.09547,0.14372,0.10914,0.010058,0.5707,0.10194,0.74201,0.15974,0.0096881,0.052927,0.0017138,0.10635,0.86593,0.22033,0.41499,0.0084859,0.025113,0.26458,0,0.98003,0.16303,0.03131,0.94831,0.97371,0.0059873,0,0.0059663,0,0.0060739,0,0.14005,0.00012548,0.80133,0.02506,0.029322,0.59864,0.69167,0.0079689,0.0033327,0.0077431,0.093462,0.01028,0.0052685,0.041588,6.8321e-05,0.037729,0.01052,0.015575,0.37991,0.46113,1
0.058374,0.15465,0.88614,0.51244,1,0.75738,0.53574,0.41597,0.36385,0.40172,0.42679,0.025901,0.18716,0.3629,1,0.46859,0.014092,0.27042,0.0020097,0.24139,0.75981,0.1746,0.46048,0.0085977,0.04203,0.4266,0.038973,0.9905,0.020088,0.031466,0.97518,0.98706,0.02604,0.047458,0.02603,0.059673,0.026083,0.015189,0.16495,0.0001297,0.92088,0.0067505,0.027778,0.82228,0.84,0.030381,0.053671,0.030251,0.32096,0.031397,0,0.062948,7.772e-05,0.05713,0.12489,0.012724,0.52502,0.9875,1
0.17929,0.33791,0.90482,0.5099,0.64025,0.84667,0.6478,0.60634,0.5311,0.59342,0.61655,0.097066,0.65316,0.14342,0.6949,0.6108,0.0089353,0.42161,0.001313,0.28806,0.96582,0.17695,0.33237,0.010671,0.037336,0.44482,0.39756,0.98595,0.078621,0.026629,0.96331,0.98139,0.0078424,0.3767,0.0078343,0.41119,0.0078756,0.27033,0.2214,0.00010551,0.85194,0.0059073,0.026368,0.68176,0.79412,0.0095406,0.38715,0.009437,0.64292,0.010107,0.0074065,0.1227,8.2376e-05,0.035158,0.073888,0.012991,0.64816,0.52907,1
0.10424,0.23221,0.92434,0.50727,0.83393,0.78578,0.23485,0.57117,0.52468,0.62159,0.59012,0.061446,0.62401,0.28801,0.5385,0.65942,0.0091179,0.4807,0.0015541,0.36817,0.86752,0.1755,0.24742,0.011483,0.03932,0.50781,0.56074,0.98849,0.039418,0.030024,0.96978,0.98488,0.0075869,0.53152,0.0075805,0.58558,0.0076123,0.36745,0.40206,0.00016362,0.81412,0.0049008,0.028333,0.61958,0.78431,0.0093859,0.55812,0.0092791,0.76291,0.0098641,0.0090991,0.16496,0.00011975,0.03572,0.16215,0.016142,0.52305,0.50498,1
1,1,0.44466,0.58097,0,1,0.37617,1,1,0.78568,1,1,0.96002,0.053418,0.35641,0.80287,0.0064365,0.67692,0.0034157,0.10632,0.71759,0.26586,0.39399,0.012954,0.0242,0.218,0.8984,0.95698,0.55896,0.040855,0.89298,0.94187,0.0022688,0.849,0.0022384,0.86724,0.0023976,0.78831,0.39155,0.00012358,0.72702,0.23975,0.031897,0.48945,0.49949,0.0034771,0.74602,0.0029679,0.77687,0.0094004,0.27412,0.013155,1.6425e-05,0.0068751,0.012207,0.037186,0.59487,0.018834,1
0.23558,0.36065,0.56115,0.56117,0.42954,0.41043,0.22951,0.18666,0.17712,0.20932,0.19194,0.021717,0.55135,0.10486,0.75609,0.23841,0.010153,0.093915,0.0016025,0.10249,0.90723,0.21858,0.44675,0.0086691,0.026008,0.2647,0.032107,0.97743,0.19641,0.030306,0.9417,0.97055,0.0060186,0.028553,0.0059971,0.027855,0.006106,0.02848,0.14382,0.00011882,0.75036,0.0333,0.027432,0.52173,0.65283,0.0084712,0,0.0082013,0,0.010756,0.011322,0.024935,4.7784e-05,0.032635,0.0097543,0.016864,0.40528,0.38502,1
